trade_id,timestamp_open,timestamp_close,symbol,side,leverage,quantity,entry_price,exit_price,position_value_usdt,margin_used_usdt,pnl_usdt,pnl_percent,roi_percent,fee_usdt,net_pnl_usdt,highest_price,lowest_price,max_unrealized_pnl,max_unrealized_loss,mae_percent,mfe_percent,exit_type,exit_reason,holding_minutes,holding_seconds,market_condition,volatility_atr,volume_ratio,entry_reason,entry_score,ma_distance_percent,order_id,fee_rate
T000033,2026-04-30 08:05:06,2026-04-30 08:25:17,SKYAIUSDT,LONG,10,370.4252481849163,0.26982,0.27141,100.53711660986814,9.994814046525413,0.5889761446140096,5.892817433844712,5.892817433844712,0.020107423321973628,0.568868721292036,0.27392,0.26982,1.518743517558154,0.0,0.0,1.518743517558154,TECHNICAL_EXIT,"時間 + 收益 (20分, PnL: 0.59 USDT)",20,1210,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777508717004_34,0.0002
T000034,2026-04-30 08:28:18,2026-04-30 08:28:18,SKYAIUSDT,LONG,10,369.6447713747089,0.2705,,99.98891065685876,9.998891065685877,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777508898085_35,0.0002
T000035,2026-04-30 08:12:10,2026-04-30 08:32:14,ZEREBROUSDT,LONG,10,3611.1512350137223,0.027696,0.02747,99.19832442582695,10.001444460494005,-0.8161201791130905,-8.160023108029932,-8.160023108029932,0.019839664885165392,-0.835959843998256,0.027961,0.027692,0.9569550772786413,1.2964032933699199,1.2964032933699199,0.9569550772786413,TECHNICAL_EXIT,"時間 + 收益 (20分, PnL: -0.81 USDT)",20,1204,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777509134490_36,0.0002
T000036,2026-04-30 08:13:54,2026-04-30 08:34:00,NAORISUSDT,LONG,10,877.7319406653207,0.11389,0.11394,100.00877731940665,9.996489072237338,0.043886597033261206,0.4390201071208578,0.4390201071208578,0.02000175546388133,0.023884841569379877,0.11487,0.11371,0.8601773018520097,0.8689546212586717,0.8689546212586717,0.8601773018520097,TECHNICAL_EXIT,"時間 + 收益 (20分, PnL: 0.03 USDT)",20,1205,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777509240045_37,0.0002
T000037,2026-04-30 08:37:29,2026-04-30 08:37:29,NAORISUSDT,LONG,10,879.3527963418924,0.11371,,99.99120647203658,9.999120647203657,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777509449730_38,0.0002
T000038,2026-04-30 08:28:18,2026-04-30 08:38:22,SKYAIUSDT,LONG,10,369.6447713747089,0.2705,0.27389,101.24200643181904,9.998891065685877,1.2530957749602647,12.532347504621086,12.532347504621086,0.020248401286363807,1.232847373673901,0.27647,0.26978,2.206779285107003,0.4472701733634142,0.4472701733634142,2.206779285107003,TRAILING_STOP,"移動止損 (最高22.1% → 當前12.5%, 回撤 9.5%)",10,604,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777509502382_39,0.0002
T000039,2026-04-30 08:39:55,2026-04-30 08:39:55,TACUSDT,LONG,10,6325.9109311740895,0.015819,,100.06958502024293,10.006958502024293,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777509595650_40,0.0002
T000040,2026-04-30 08:37:29,2026-04-30 08:41:18,NAORISUSDT,LONG,10,879.3527963418924,0.11371,0.11535,101.43334505803728,9.999120647203657,1.4421385860006934,14.422654120130057,14.422654120130057,0.020286669011607455,1.421851916989086,0.11633,0.11371,2.3039043264157555,0.0,0.0,2.3039043264157555,TRAILING_STOP,"移動止損 (最高23.0% → 當前15.0%, 回撤 8.0%)",3,228,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777509678579_41,0.0002
T000041,2026-04-30 08:41:30,2026-04-30 08:41:30,SKYAIUSDT,LONG,10,365.0301149844862,0.2738,,99.94524548275231,9.994524548275232,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777509690163_42,0.0002
T000042,2026-04-30 08:44:20,2026-04-30 08:44:20,NAORISUSDT,LONG,10,862.217623728229,0.11588,,99.91377823762717,9.991377823762717,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777509860441_43,0.0002
T000043,2026-04-30 08:44:20,2026-04-30 08:47:04,NAORISUSDT,LONG,10,862.217623728229,0.11588,0.1181,101.82790136230385,9.991377823762717,1.9141231246766681,19.15774939592682,19.15774939592682,0.02036558027246077,1.8937575444042074,0.11921,0.11585,2.871184687015002,0.02586652871184881,0.02586652871184881,2.871184687015002,TRAILING_STOP,"移動止損 (最高28.7% → 當前19.2%, 回撤 9.6%)",2,164,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777510024597_44,0.0002
T000044,2026-04-30 08:50:12,2026-04-30 08:50:12,NAORISUSDT,LONG,10,844.1668073611346,0.11818,,99.76363329393888,9.976363329393887,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777510212712_45,0.0002
T000045,2026-04-30 08:50:12,2026-04-30 08:55:52,NAORISUSDT,LONG,10,844.1668073611346,0.11818,0.11954,100.91170015195003,9.976363329393887,1.148066858011143,11.507869351836183,11.507869351836183,0.020182340030390006,1.127884517980753,0.12027,0.11818,1.7643086273847786,0.0,0.0,1.7643086273847786,TRAILING_STOP,"移動止損 (最高17.7% → 當前11.5%, 回撤 6.2%)",5,340,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777510552729_46,0.0002
T000046,2026-04-30 08:59:01,2026-04-30 08:59:01,NAORISUSDT,LONG,10,834.306691139663,0.11945,,99.65793425663274,9.965793425663275,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777510741916_47,0.0002
T000047,2026-04-30 08:39:55,2026-04-30 09:00:01,TACUSDT,LONG,10,6325.9109311740895,0.015819,0.015689,99.2472165991903,10.006958502024293,-0.8223684210526201,-8.21796573740427,-8.21796573740427,0.01984944331983806,-0.8422178643724582,0.016002,0.015808,1.157641700404853,1.9040991902833957,1.9040991902833957,1.157641700404853,TECHNICAL_EXIT,"時間 + 收益 (20分, PnL: -0.82 USDT)",20,1206,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777510801984_48,0.0002
T000048,2026-04-30 08:41:30,2026-04-30 09:01:37,SKYAIUSDT,LONG,10,365.0301149844862,0.2738,0.27245,99.45245482752327,9.994524548275232,-0.49279065522904264,-4.9306062819574965,-4.9306062819574965,0.019890490965504656,-0.5126811461945473,0.2757,0.27378,0.6935572184705284,0.68990691732068,0.68990691732068,0.6935572184705284,TECHNICAL_EXIT,"時間 + 收益 (20分, PnL: -0.49 USDT)",20,1207,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777510897455_49,0.0002
T000049,2026-04-30 09:03:54,2026-04-30 09:03:54,SOLVUSDT,LONG,10,19227.071716977505,0.005201,,100.0,10.0,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777511034323_50,0.0002
T000050,2026-04-30 09:04:46,2026-04-30 09:04:46,SKYAIUSDT,LONG,10,366.19305697963966,0.27308,,100.0,10.0,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777511086953_51,0.0002
T000051,2026-04-30 09:04:46,2026-04-30 09:15:38,SKYAIUSDT,LONG,10,366.19305697963966,0.27308,0.28029,102.64025194082319,10.0,2.6402519408232,26.402519408232,26.402519408232,0.02052805038816464,2.619723890435035,0.28421,0.27223,4.0757287241834,0.38450270982861995,0.38450270982861995,4.0757287241834,TRAILING_STOP,"移動止損 (最高40.8% → 當前26.4%, 回撤 14.4%)",10,651,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777511738517_52,0.0002
T000052,2026-04-30 09:15:41,2026-04-30 09:15:41,AIGENSYNUSDT,LONG,10,1849.4544109487701,0.05418,,100.20343998520437,10.020343998520437,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777511741086_53,0.0002
T000053,2026-04-30 08:59:01,2026-04-30 09:16:09,NAORISUSDT,LONG,10,834.306691139663,0.11945,0.1222,101.95227765726682,9.965793425663275,2.2943434006340753,23.0221850146505,23.0221850146505,0.020390455531453366,2.273952945102622,0.12571,0.11943,5.222759886534281,1.1012848323043567,1.1012848323043567,5.222759886534281,TRAILING_STOP,"移動止損 (最高52.4% → 當前23.0%, 回撤 29.4%)",17,1027,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777511769169_54,0.0002
T000054,2026-04-30 09:16:12,2026-04-30 09:16:12,SWARMSUSDT,LONG,10,3877.1712158808937,0.025808,,100.0620347394541,10.00620347394541,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777511772932_55,0.0002
T000055,2026-04-30 09:16:12,2026-04-30 09:19:15,SWARMSUSDT,LONG,10,3877.1712158808937,0.025808,0.02613,101.31048387096776,10.00620347394541,1.2484491315136452,12.47675139491628,12.47675139491628,0.020262096774193553,1.2281870347394517,0.026354,0.025808,2.1169354838709595,0.0,0.0,2.1169354838709595,TRAILING_STOP,"移動止損 (最高21.2% → 當前13.1%, 回撤 8.1%)",3,182,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777511955051_56,0.0002
T000056,2026-04-30 09:19:17,2026-04-30 09:19:17,SKYAIUSDT,LONG,10,356.3664872955347,0.28025,,99.8717080645736,9.98717080645736,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777511957502_57,0.0002
T000057,2026-04-30 09:15:41,2026-04-30 09:20:38,AIGENSYNUSDT,LONG,10,1849.4544109487701,0.05418,0.05566,102.94063251340854,10.020343998520437,2.737192528204184,27.316352897748285,27.316352897748285,0.02058812650268171,2.716604401701502,0.05645,0.05418,4.19826151285371,0.0,0.0,4.19826151285371,TRAILING_STOP,"移動止損 (最高41.9% → 當前27.3%, 回撤 14.6%)",4,297,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777512038954_58,0.0002
T000058,2026-04-30 09:20:41,2026-04-30 09:20:41,NAORISUSDT,LONG,10,818.9337482597658,0.1221,,99.99181066251741,9.99918106625174,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777512041334_59,0.0002
T000059,2026-04-30 09:03:54,2026-04-30 09:24:03,SOLVUSDT,LONG,10,19227.071716977505,0.005201,0.005138,98.78869448183043,10.0,-1.2113055181695769,-12.113055181695769,-12.113055181695769,0.019757738896366086,-1.231063257065943,0.005225,0.005189,0.46144972120745464,2.3649298211882304,2.3649298211882304,0.46144972120745464,TECHNICAL_EXIT,"時間 + 收益 (20分, PnL: -1.21 USDT)",20,1209,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777512243561_60,0.0002
T000060,2026-04-30 09:24:05,2026-04-30 09:24:05,AIGENSYNUSDT,LONG,10,1792.1146953405016,0.05584,,100.0716845878136,10.007168458781361,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777512245926_61,0.0002
T000061,2026-04-30 09:19:17,2026-04-30 09:30:15,SKYAIUSDT,LONG,10,356.3664872955347,0.28025,0.28788,102.59078436263853,9.98717080645736,2.719076298064939,27.225691347011686,27.225691347011686,0.020518156872527706,2.698558141192411,0.29256,0.2797,4.386871458608027,0.27440219521755915,0.27440219521755915,4.386871458608027,TRAILING_STOP,"移動止損 (最高43.9% → 當前27.4%, 回撤 16.6%)",10,657,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777512615433_62,0.0002
T000062,2026-04-30 09:30:18,2026-04-30 09:30:18,SWARMSUSDT,LONG,10,3773.442511603336,0.026509,,100.03018754009284,10.003018754009284,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777512618139_63,0.0002
T000063,2026-04-30 09:20:41,2026-04-30 09:31:28,NAORISUSDT,LONG,10,818.9337482597658,0.1221,0.12474,102.15379575792319,9.99918106625174,2.1619850954057847,21.62162162162165,21.62162162162165,0.02043075915158464,2.1415543362542,0.12747,0.1221,4.397674228154942,0.0,0.0,4.397674228154942,TRAILING_STOP,"移動止損 (最高44.0% → 當前21.6%, 回撤 22.4%)",10,646,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777512688100_64,0.0002
T000064,2026-04-30 09:31:30,2026-04-30 09:31:30,SOLVUSDT,LONG,10,19436.34596695821,0.005148,,100.05830903790087,10.005830903790088,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777512690733_65,0.0002
T000065,2026-04-30 09:24:05,2026-04-30 09:31:38,AIGENSYNUSDT,LONG,10,1792.1146953405016,0.05584,0.05366,96.16487455197131,10.007168458781361,-3.906810035842296,-39.040114613180535,-39.040114613180535,0.019232974910394263,-3.9260430107526902,0.05626,0.0556,0.7526881720430049,3.906810035842296,3.906810035842296,0.7526881720430049,STOP_LOSS,固定止損 (PnL: -3.91 USDT),7,452,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777512698366_66,0.0002
T000066,2026-04-30 09:31:40,2026-04-30 09:31:40,TACUSDT,LONG,10,6227.425582264293,0.016056,,99.9875451488355,9.998754514883549,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777512700308_67,0.0002
T000067,2026-04-30 09:30:18,2026-04-30 09:42:38,SWARMSUSDT,LONG,10,3773.442511603336,0.026509,0.02568,96.90200369797367,10.003018754009284,-3.128183842119165,-31.27239805349126,-31.27239805349126,0.019380400739594735,-3.14756424285876,0.0266,0.026505,0.3433832685558935,3.128183842119165,3.128183842119165,0.3433832685558935,STOP_LOSS,固定止損 (PnL: -3.13 USDT),12,740,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777513358490_68,0.0002
T000068,2026-04-30 09:42:40,2026-04-30 09:42:40,ZEREBROUSDT,LONG,10,3291.097581043278,0.030412,,100.08885963468818,10.008885963468817,,,,0,,,,,,,,,,,,UNKNOWN,0.0,1.0,,0.0,0.0,PAPER_1777513360986_69,0.0002
T000069,2026-04-30 09:42:40,2026-04-30 09:47:08,ZEREBROUSDT,LONG,10,3291.097581043278,0.030412,0.0294,96.75826888267237,10.008885963468817,-3.330590752015805,-33.276338287518165,-33.276338287518165,0.019351653776534476,-3.3499424057923397,0.030412,0.030403,0.0,4.0184301464538414,4.0184301464538414,0.0,STOP_LOSS,固定止損 (PnL: -4.02 USDT),4,267,UNKNOWN,0.0,1.0,,0.0,,PAPER_1777513628004_70,0.0002
